Secondary School Code,School Name,Address Line #1,Address Line #2,Domestic Address #3,City,State,ZIP,Foreign Address #3,Country Name,Website
101151,PATHLIGHT PREPARATORY,741 FRONT ST STE 210,,,CELEBRATION,FL,34747,4992,,
101152,MIDDLEBURG HIGH SCHOOL,3750 COUNTY RD 220,,,MIDDLEBURG,FL,32068,3834,,
101153,G HOLMES BRADDOCK HIGH SCHOOL,3601 BULLDOG BLVD,,,MIAMI,FL,33185,3916,,
101154,DESIGN & ARCHITECTURE SR HIGH,4001 NE 2ND AVE,,,MIAMI,FL,33137,3505,,
101160,CAMBRIDGE PREP ACADEMY,2658 SW MAIN BLVD,,,LAKE CITY,FL,32025,36,,
101161,MAST ACADEMY,3979 RICKENBACKER CAUSEWAY,,,MIAMI,FL,33149,1022,,
101164,TRINITY SATELLITE BAPTIST SCH,5301 HIGHWAY 90,,,MILTON,FL,32571,1529,,
101165,MILTON HIGH SCHOOL,5445 STEWART ST,,,MILTON,FL,32570,4221,,
101167,OPEN DOOR SCHOOL,710 SCOTLAND STREET,,,DUNEDIN,FL,34698,7123,,
101171,SANTA ROSA CHRISTIAN SCHOOL,6331 CHESTNUT ST,,,MILTON,FL,32570,8794,,
101172,MIRAMAR HIGH SCHOOL,3601 SW 89TH AVENUE,,,MIRAMAR,FL,33025,3299,,
101173,AUCILLA CHRISTIAN ACADEMY,7803 AUCILLA RD,,,MONTICELLO,FL,32344,5293,,
101175,PREPARATORY ACADEMY INC,PO BOX 964,,,LUTZ,FL,33549,964,,
101176,SANTA ROSA HIGH SCHOOL,5332 BERRYHILL RD,,,MILTON,FL,32570,8015,,
101177,WEST FLORIDA BAPTIST ACADEMY,5621 HIGHWAY 90,,,MILTON,FL,32583,1675,,
101178,D A DORSEY EDUCATIONAL CENTER,7100 NW 17TH AVE,,,MIAMI,FL,33147,6304,,
101179,SCHOOL ADVANCED STUDIES/SOUTH,11011 SW 104TH ST,PT 107,,MIAMI,FL,33176,3330,,
101182,ROBERT MORGAN EDUCATIONAL CNTR,18180 SW 122ND AVE,,,MIAMI,FL,33177,2407,,
101184,WILLIAM H TURNER TECH ARTS HS,10151 NW 19TH AVE,,,MIAMI,FL,33147,1315,,
101185,MONTVERDE ACADEMY,17235 7TH ST,,,MONTVERDE,FL,34756,3210,,
101187,AMERICAN ACADEMY OF PINECREST,12651 S DIXIE HWY STE 314,,,MIAMI,FL,33156,5961,,
101190,MOORE HAVEN MIDDLE/HIGH SCHOOL,PO BOX 99,700 TERRIER PRIDE DR SW,,MOORE HAVEN,FL,33471,2129,,
